from_station_id,from_station_name,to_station_id,to_station_name,line,travel_time_seconds
940GZZBPSUST,Battersea Power Station Underground Station,940GZZNEUGST,Nine Elms Underground Station,NTN,120
940GZZLUACT,Acton Town,940GZZLUCWP,Chiswick Park,CIR,120
940GZZLUACT,Acton Town,940GZZLUCWP,Chiswick Park,DIS,120
940GZZLUACT,Acton Town,940GZZLUCWP,Chiswick Park,PIC,84
940GZZLUACT,Acton Town,940GZZLUECM,Ealing Common,CIR,120
940GZZLUACT,Acton Town,940GZZLUECM,Ealing Common,DIS,120
940GZZLUACT,Acton Town,940GZZLUECM,Ealing Common,PIC,120
940GZZLUACT,Acton Town,940GZZLUSEA,South Ealing,PIC,180
940GZZLUACT,Acton Town,940GZZLUTNG,Turnham Green,PIC,180
940GZZLUACY,Archway Station,940GZZLUHGT,Highgate,NTN,120
940GZZLUACY,Archway Station,940GZZLUTFP,Tufnell Park Station,NTN,60
940GZZLUADE,Aldgate East,940GZZLULVT,Liverpool Street Station,CIR,180
940GZZLUADE,Aldgate East,940GZZLULVT,Liverpool Street Station,HAM,120
940GZZLUADE,Aldgate East,940GZZLUTWH,Tower Hill,CIR,120
940GZZLUADE,Aldgate East,940GZZLUTWH,Tower Hill,DIS,120
940GZZLUADE,Aldgate East,940GZZLUWPL,Whitechapel Station,CIR,60
940GZZLUADE,Aldgate East,940GZZLUWPL,Whitechapel Station,DIS,120
940GZZLUADE,Aldgate East,940GZZLUWPL,Whitechapel Station,HAM,60
940GZZLUAGL,Angel Station,940GZZLUKSX,King's Cross St. Pancras Underground Station,NTN,120
940GZZLUAGL,Angel Station,940GZZLUODS,Old Street Station,NTN,120
940GZZLUALD,Aldgate,940GZZLULVT,Liverpool Street Station,CIR,120
940GZZLUALD,Aldgate,940GZZLULVT,Liverpool Street Station,MET,120
940GZZLUALD,Aldgate,940GZZLUTWH,Tower Hill,CIR,120
940GZZLUALP,Alperton Station,940GZZLUPKR,Park Royal,PIC,120
940GZZLUALP,Alperton Station,940GZZLUSUT,Sudbury Town Station,PIC,120
940GZZLUAMS,Amersham Station,940GZZLUCAL,Chalfont & Latimer Station,MET,180
940GZZLUASG,Arnos Grove Station,940GZZLUBDS,Bounds Green,PIC,120
940GZZLUASG,Arnos Grove Station,940GZZLUSGT,Southgate,PIC,120
940GZZLUASL,Arsenal,940GZZLUFPK,Finsbury Park Station,PIC,60
940GZZLUASL,Arsenal,940GZZLUHWY,Holloway Road Station,PIC,60
940GZZLUBBB,Bromley-By-Bow,940GZZLUBWR,Bow Road Station,CIR,120
940GZZLUBBB,Bromley-By-Bow,940GZZLUBWR,Bow Road Station,DIS,120
940GZZLUBBB,Bromley-By-Bow,940GZZLUBWR,Bow Road Station,HAM,120
940GZZLUBBB,Bromley-By-Bow,940GZZLUWHM,West Ham Station,CIR,120
940GZZLUBBB,Bromley-By-Bow,940GZZLUWHM,West Ham Station,DIS,120
940GZZLUBBB,Bromley-By-Bow,940GZZLUWHM,West Ham Station,HAM,120
940GZZLUBBN,Barbican,940GZZLUFCN,Farringdon Station,CIR,60
940GZZLUBBN,Barbican,940GZZLUFCN,Farringdon Station,HAM,60
940GZZLUBBN,Barbican,940GZZLUFCN,Farringdon Station,MET,60
940GZZLUBBN,Barbican,940GZZLUMGT,Moorgate Station,CIR,60
940GZZLUBBN,Barbican,940GZZLUMGT,Moorgate Station,HAM,60
940GZZLUBBN,Barbican,940GZZLUMGT,Moorgate Station,MET,60
940GZZLUBDS,Bounds Green,940GZZLUASG,Arnos Grove Station,PIC,180
940GZZLUBDS,Bounds Green,940GZZLUWOG,Wood Green Station,PIC,120
940GZZLUBEC,Becontree,940GZZLUDGY,Dagenham Heathway,DIS,120
940GZZLUBEC,Becontree,940GZZLUDGY,Dagenham Heathway,HAM,120
940GZZLUBEC,Becontree,940GZZLUUPY,Upney Station,DIS,120
940GZZLUBEC,Becontree,940GZZLUUPY,Upney Station,HAM,120
940GZZLUBKE,Barkingside Station,940GZZLUFLP,Fairlop,CEN,60
940GZZLUBKE,Barkingside Station,940GZZLUNBP,Newbury Park Station,CEN,60
940GZZLUBKF,Blackfriars Station,940GZZLUMSH,Mansion House,CIR,60
940GZZLUBKF,Blackfriars Station,940GZZLUMSH,Mansion House,DIS,60
940GZZLUBKF,Blackfriars Station,940GZZLUTMP,Temple,CIR,60
940GZZLUBKF,Blackfriars Station,940GZZLUTMP,Temple,DIS,60
940GZZLUBKG,Barking Station,940GZZLUEHM,East Ham Station,CIR,180
940GZZLUBKG,Barking Station,940GZZLUEHM,East Ham Station,DIS,180
940GZZLUBKG,Barking Station,940GZZLUEHM,East Ham Station,HAM,180
940GZZLUBKG,Barking Station,940GZZLUUPY,Upney Station,DIS,120
940GZZLUBKG,Barking Station,940GZZLUUPY,Upney Station,HAM,120
940GZZLUBKH,Buckhurst Hill,940GZZLULGN,Loughton,CEN,120
